Thread ID: 109440
Total: 0.037897

 %self     total     self     wait    child    calls  name
  0.09      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#ensure_secret_secure
  0.09      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        9  String#<<
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_current_url
  0.08      0.00     0.00     0.00     0.00        3  Array#-
  0.08      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#assign_default_content_type_and_charset!
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#render_without_benchmark
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#request_origin
  0.08      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#before_dispatch_callback_chain
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::Inflector#constantize
  0.08      0.00     0.00     0.00     0.00        1  <Module::Marshal>#dump
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        2  CGI::Cookie#respond_to?
  0.08      0.00     0.00     0.00     0.00        1  ActionController::SessionManagement#clear_persistent_model_associations
  0.08      0.00     0.00     0.00     0.00        2  CGI::Session#[]
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        6  Hash#initialize_copy
  0.08      0.00     0.00     0.00     0.00        2  #<Class:0x23c4464>#initialize
  0.08      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#convert_content_type!
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        3  Enumerable#any?
  0.08      0.00     0.00     0.00     0.00        8  NilClass#to_s
  0.08      0.00     0.00     0.00     0.00        6  Hash#initialize
  0.08      0.00     0.00     0.00     0.00        6  Array#hash
  0.08      0.00     0.00     0.00     0.00        6  Module#const_defined?
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        3  Kernel#extend
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        4  ActionController::RackRequest#session_options_with_string_keys
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base#view_paths=
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.08      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#handle_request
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#template_format
  0.07      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#nonempty_ok_response?
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_session_id
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        5  <Class::Thread>#pass
  0.07      0.00     0.00     0.00     0.00        2  <Module::Process>#times
  0.07      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#remote_ip
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
